index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.49318181818181817,0.49318181818181817,0.49318181818181817,0.49318181818181817,0.8301654908736064,0.46265267776777674,0.4783144268545728,0.8077016263319473,0.49318181818181817,0.4903087659225681
1,emot_nusantara_text,1,eng,0.675,0.675,0.675,0.675,0.7843928211693962,0.6545873346950081,0.6678152011922505,0.7737721533594939,0.675,0.6769932935916542
2,emot_nusantara_text,2,eng,0.55,0.55,0.55,0.55,0.8051036452112926,0.5252718704562763,0.550580040526849,0.776895546833671,0.55,0.5574529681311596
3,nusaparagraph_emot_btk_nusantara_text,0,eng,0.364,0.364,0.364,0.364,0.5862686680384449,0.3809751028164877,0.34726986840314034,0.6165679914424843,0.364,0.3600239397207363
4,nusaparagraph_emot_btk_nusantara_text,1,eng,0.326,0.326,0.326,0.326,0.6065727491969729,0.3554092124520318,0.3260097475057816,0.6365852307113177,0.326,0.32745574031802904
5,nusaparagraph_emot_btk_nusantara_text,2,eng,0.254,0.254,0.254,0.254,0.6671989885672104,0.28318089233290333,0.25778644738119644,0.6911555345783893,0.254,0.26413529933550617
6,nusaparagraph_emot_bew_nusantara_text,0,eng,0.56875,0.56875,0.56875,0.56875,0.6652527595866262,0.6039236727840784,0.5706171796910027,0.7107863629623291,0.56875,0.5763154346347679
7,nusaparagraph_emot_bew_nusantara_text,1,eng,0.52375,0.52375,0.52375,0.52375,0.6801093830339664,0.581327532467209,0.5532438618927819,0.7269560825744621,0.52375,0.5356208346456968
8,nusaparagraph_emot_bew_nusantara_text,2,eng,0.53625,0.53625,0.53625,0.53625,0.7373081134001158,0.5617994389727956,0.5633448159982525,0.7722205860703842,0.53625,0.5739355753945274
9,nusaparagraph_emot_bug_nusantara_text,0,eng,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.49518778262496854,0.3113522106378053,0.2740820346083504,0.621890377815001,0.30333333333333334,0.3336857436383753
