index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.29411764705882354,0.28291316526610644,0.28792569659442724,1.0,0.9636363636363636,0.9799043062200956
1,nusaparagraph_emot_btk_nusantara_text,0,eng,0.996,0.996,0.996,0.996,0.7777777777777778,0.7222222222222222,0.7407407407407407,1.0,0.996,0.9973333333333333
2,nusaparagraph_emot_bew_nusantara_text,0,eng,0.99625,0.99625,0.99625,0.99625,0.7,0.6931818181818181,0.6964705882352942,1.0,0.99625,0.9980588235294118
3,nusaparagraph_emot_bug_nusantara_text,0,eng,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.5,0.5,0.5,0.9833333333333333,0.9833333333333333,0.9833333333333333
4,nusaparagraph_emot_jav_nusantara_text,0,eng,0.96125,0.96125,0.96125,0.96125,0.20588235294117646,0.1868872549019608,0.1918552036199095,1.0,0.96125,0.9713846153846154
5,nusaparagraph_emot_mad_nusantara_text,0,eng,0.972,0.972,0.972,0.972,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.972,0.972,0.972
6,nusaparagraph_emot_mak_nusantara_text,0,eng,0.976,0.976,0.976,0.976,0.3888888888888889,0.3412698412698413,0.3472222222222222,1.0,0.976,0.979
7,nusaparagraph_emot_min_nusantara_text,0,eng,0.97625,0.97625,0.97625,0.97625,0.2692307692307692,0.2607334525939177,0.2644544997486174,1.0,0.97625,0.9866503267973856
8,nusaparagraph_emot_mui_nusantara_text,0,eng,0.9925,0.9925,0.9925,0.9925,0.7,0.6842105263157895,0.6914285714285715,1.0,0.9925,0.9959285714285714
9,nusaparagraph_emot_rej_nusantara_text,0,eng,0.98,0.98,0.98,0.98,0.5,0.5,0.5,0.98,0.98,0.98
10,nusaparagraph_emot_sun_nusantara_text,0,eng,0.96375,0.96375,0.96375,0.96375,0.21875,0.200625,0.20598591549295775,1.0,0.96375,0.9744718309859155
