index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.9227272727272727,0.9227272727272727,0.9227272727272727,0.9227272727272727,0.17857142857142858,0.1672229639519359,0.17182539682539683,1.0,0.9227272727272727,0.9540656565656566
1,nusaparagraph_emot_btk_nusantara_text,0,eng,0.858,0.858,0.858,0.858,0.1346153846153846,0.1166497975708502,0.11775878442545108,1.0,0.858,0.8667654320987654
2,nusaparagraph_emot_bew_nusantara_text,0,eng,0.9025,0.9025,0.9025,0.9025,0.11475409836065574,0.10400881664141065,0.10676229508196722,1.0,0.9025,0.9274843749999999
3,nusaparagraph_emot_bug_nusantara_text,0,eng,0.73,0.73,0.7299999999999999,0.73,0.14583333333333334,0.12550200803212852,0.12598039215686274,1.0,0.73,0.7363529411764705
4,nusaparagraph_emot_jav_nusantara_text,0,eng,0.7875,0.7875,0.7875,0.7875,0.08860759493670886,0.07678397551815273,0.07751533342033146,1.0,0.7875,0.8006443298969071
5,nusaparagraph_emot_mad_nusantara_text,0,eng,0.672,0.672,0.672,0.672,0.1,0.08597091531223268,0.08621848739495798,1.0,0.672,0.6777882352941176
6,nusaparagraph_emot_mak_nusantara_text,0,eng,0.784,0.784,0.7840000000000001,0.784,0.109375,0.0940340909090909,0.09430803571428571,1.0,0.784,0.7878571428571429
7,nusaparagraph_emot_min_nusantara_text,0,eng,0.89375,0.89375,0.89375,0.89375,0.11290322580645161,0.10370210002164972,0.10646675753445403,1.0,0.89375,0.925674882629108
8,nusaparagraph_emot_mui_nusantara_text,0,eng,0.93,0.93,0.93,0.93,0.21212121212121213,0.19326599326599328,0.19843597262952103,1.0,0.93,0.9491935483870968
9,nusaparagraph_emot_rej_nusantara_text,0,eng,0.6966666666666667,0.6966666666666667,0.6966666666666667,0.6966666666666667,0.14583333333333334,0.12522644927536233,0.12544802867383512,1.0,0.6966666666666667,0.6999283154121865
10,nusaparagraph_emot_sun_nusantara_text,0,eng,0.86375,0.86375,0.86375,0.86375,0.09210526315789473,0.08124003189792663,0.08285229202037352,1.0,0.86375,0.8839677419354838
11,nusaparagraph_rhetoric_btk_nusantara_text,0,eng,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.8333333333333334,0.832010582010582,0.8326693227091634,1.0,0.9991666666666666,0.9995816733067729
12,nusaparagraph_rhetoric_bew_nusantara_text,0,eng,0.9985,0.9985,0.9985,0.9985,0.625,0.6233974358974359,0.6241935483870968,1.0,0.9985,0.9992451612903226
13,nusaparagraph_rhetoric_bug_nusantara_text,0,eng,0.9975,0.9975,0.9975,0.9975,0.8333333333333334,0.826923076923077,0.8300653594771242,1.0,0.9975,0.9987254901960785
14,nusaparagraph_rhetoric_jav_nusantara_text,0,eng,0.9965,0.9965,0.9965,0.9965,0.7142857142857143,0.7085385878489328,0.7113531629660662,1.0,0.9965,0.9982140762463343
15,nusaparagraph_rhetoric_mad_nusantara_text,0,eng,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.8333333333333334,0.831111111111111,0.8322147651006712,1.0,0.9991666666666666,0.9995805369127517
16,nusaparagraph_rhetoric_mak_nusantara_text,0,eng,0.9975,0.9975,0.9975,0.9975,0.625,0.6204819277108433,0.6226993865030674,1.0,0.9975,0.9987269938650307
17,nusaparagraph_rhetoric_min_nusantara_text,0,eng,0.9985,0.9985,0.9985,0.9985,0.7142857142857143,0.7124463519313304,0.7133600740512188,1.0,0.9985,0.9992451403887689
18,nusaparagraph_rhetoric_mui_nusantara_text,0,eng,0.9975,0.9975,0.9975,0.9975,0.8333333333333334,0.828125,0.8306878306878307,1.0,0.9975,0.9987301587301587
19,nusaparagraph_rhetoric_rej_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
