index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.2681818181818182,0.2681818181818182,0.2681818181818182,0.2681818181818182,0.15359664982306492,0.24077351485148513,0.16740408907669385,0.15656124313928774,0.2681818181818182,0.1814699255852006
1,emot_nusantara_text,1,eng,0.21136363636363636,0.21136363636363636,0.21136363636363636,0.21136363636363636,0.11466188983430363,0.18810767326732675,0.1292158346155235,0.12531531164760007,0.21136363636363636,0.14304369174277906
2,emot_nusantara_text,2,eng,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.12355520127540853,0.2036089108910891,0.14255366944285502,0.12834613572955544,0.22727272727272727,0.15541581175092523
3,nusaparagraph_emot_btk_nusantara_text,0,eng,0.162,0.162,0.162,0.162,0.15772598453733397,0.166610201688758,0.10270810938915957,0.18569864722340654,0.162,0.10551933953937714
4,nusaparagraph_emot_btk_nusantara_text,1,eng,0.13,0.13,0.13,0.13,0.11875050090103821,0.13544198368268706,0.0981913303868842,0.12771765620668213,0.13,0.10202578714703443
5,nusaparagraph_emot_btk_nusantara_text,2,eng,0.116,0.116,0.116,0.116,0.06876932591218306,0.13375272439072716,0.04217215749264038,0.0816995670995671,0.116,0.041731628295224636
6,nusaparagraph_emot_bew_nusantara_text,0,eng,0.23125,0.23125,0.23125,0.23125,0.26975830119778516,0.23402197330423752,0.17577678428670085,0.2933458725592102,0.23125,0.18658131734926292
7,nusaparagraph_emot_bew_nusantara_text,1,eng,0.15375,0.15375,0.15375,0.15375,0.28203718019022517,0.1475941860337371,0.0962979792039791,0.310318938221284,0.15375,0.10838869326692258
8,nusaparagraph_emot_bew_nusantara_text,2,eng,0.15875,0.15875,0.15875,0.15875,0.11417247853022919,0.13864790585456796,0.06870051249284638,0.1335019328510898,0.15875,0.08428318680101896
9,nusaparagraph_emot_bug_nusantara_text,0,eng,0.12666666666666668,0.12666666666666668,0.12666666666666668,0.12666666666666668,0.12240624893173349,0.14158947243029402,0.07080227417159658,0.16242242960835926,0.12666666666666668,0.07386219369279681
10,nusaparagraph_emot_bug_nusantara_text,1,eng,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.08937807881773399,0.1481125421433509,0.0774343567280615,0.12428591954022988,0.13333333333333333,0.08455332294946245
11,nusaparagraph_emot_bug_nusantara_text,2,eng,0.11333333333333333,0.11333333333333333,0.11333333333333333,0.11333333333333333,0.13893068313800022,0.13510264874192987,0.07167678630263663,0.22141860679970435,0.11333333333333333,0.09981362611521341
12,nusaparagraph_emot_jav_nusantara_text,0,eng,0.15875,0.15875,0.15875,0.15875,0.16174248421567242,0.1673923222814897,0.09980191293643677,0.209023678053882,0.15875,0.10510604500981245
13,nusaparagraph_emot_jav_nusantara_text,1,eng,0.12375,0.12375,0.12375,0.12375,0.18337268291501702,0.13460229258172834,0.07464616590803048,0.21254188914314776,0.12375,0.07405136478819899
14,nusaparagraph_emot_jav_nusantara_text,2,eng,0.12875,0.12875,0.12875,0.12875,0.12881868744481148,0.14411128157991326,0.06892792771227127,0.16861187922649634,0.12875,0.0753619046819562
15,nusaparagraph_emot_mad_nusantara_text,0,eng,0.17,0.17,0.17,0.17,0.1254577379579731,0.14180183785728456,0.09985281119525181,0.19695004091827958,0.17,0.13178274162737322
16,nusaparagraph_emot_mad_nusantara_text,1,eng,0.148,0.148,0.148,0.148,0.15045251699857395,0.12946915380764687,0.09575418072460107,0.23982933700516856,0.148,0.12956510665883753
17,nusaparagraph_emot_mad_nusantara_text,2,eng,0.106,0.106,0.106,0.106,0.1175682213162649,0.1466053501713011,0.07165759793604018,0.19748122263107176,0.106,0.09900675241992005
18,nusaparagraph_emot_mak_nusantara_text,0,eng,0.156,0.156,0.156,0.156,0.13909068007067568,0.15808384595149083,0.10859016740150684,0.17574316105344218,0.156,0.12037217842219167
19,nusaparagraph_emot_mak_nusantara_text,1,eng,0.136,0.136,0.136,0.136,0.17380469127541726,0.15549116616631878,0.08064970332073308,0.18748503773093939,0.136,0.0798560272941089
20,nusaparagraph_emot_mak_nusantara_text,2,eng,0.106,0.106,0.106,0.106,0.10611756664388243,0.1416462588416643,0.06467302555159994,0.13053508771929825,0.106,0.06886193800673701
21,nusaparagraph_emot_min_nusantara_text,0,eng,0.1775,0.1775,0.1775,0.1775,0.3470278581439296,0.19821356552798197,0.12140545955625184,0.36492354012274575,0.1775,0.12020590564175374
22,nusaparagraph_emot_min_nusantara_text,1,eng,0.135,0.135,0.135,0.135,0.15145506835402306,0.14438667988919265,0.08530254031398332,0.20917537746806036,0.135,0.08975558800560307
23,nusaparagraph_emot_min_nusantara_text,2,eng,0.155,0.155,0.155,0.155,0.08508603885191905,0.13524911842684953,0.058974337353928756,0.12401784844054581,0.155,0.07005810504179587
24,nusaparagraph_emot_mui_nusantara_text,0,eng,0.2125,0.2125,0.2125,0.2125,0.2617993130696266,0.24045671024386708,0.1525579129540982,0.3008373281559365,0.2125,0.14749601293821862
25,nusaparagraph_emot_mui_nusantara_text,1,eng,0.12,0.12,0.12,0.12,0.1320321323982542,0.12416851861263781,0.07347198205580287,0.21336854751277604,0.12,0.08201651607331911
26,nusaparagraph_emot_mui_nusantara_text,2,eng,0.0925,0.0925,0.0925,0.0925,0.09834911865298605,0.14593588017275153,0.04254004652278798,0.1532085635359116,0.0925,0.04655294230053606
27,nusaparagraph_emot_rej_nusantara_text,0,eng,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.16022772745461822,0.18828197889745965,0.1381600076560369,0.18009697818521345,0.22666666666666666,0.15430417148031464
28,nusaparagraph_emot_rej_nusantara_text,1,eng,0.17,0.17,0.17,0.17,0.1362337640003636,0.14641601856707692,0.08944784519807249,0.17988704305605713,0.17,0.11041298038145717
29,nusaparagraph_emot_rej_nusantara_text,2,eng,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20689146013925486,0.16960187616283845,0.1108259359687931,0.22221167839852682,0.16666666666666666,0.12866746586746586
30,nusaparagraph_emot_sun_nusantara_text,0,eng,0.165,0.165,0.165,0.165,0.2812104581892756,0.1729515452637691,0.10932261019692853,0.2976504762181382,0.165,0.11650078799938043
31,nusaparagraph_emot_sun_nusantara_text,1,eng,0.1225,0.1225,0.1225,0.1225,0.10360510126958274,0.13060574350590626,0.0850203036548479,0.11995827184236495,0.1225,0.08558985858879986
