index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.3,0.3,0.3,0.3,0.36047619047619045,0.28546298379837987,0.20853901947252332,0.3602380952380952,0.3,0.20098515141673706
1,emot_nusantara_text,1,eng,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.3340909090909091,0.35303919960636376,0.3088391089108911,0.24762820512820513,0.3205115779742645,0.3340909090909091,0.25311407342657344
2,emot_nusantara_text,2,eng,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.41638655462184876,0.28119689468946896,0.19590682618218022,0.39832887700534764,0.3181818181818182,0.21918503529144331
3,nusaparagraph_emot_btk_nusantara_text,0,eng,0.192,0.192,0.192,0.192,0.4266662582700319,0.19259393624809418,0.10161218464103047,0.49471329331046315,0.192,0.10091114195785245
4,nusaparagraph_emot_btk_nusantara_text,1,eng,0.148,0.148,0.148,0.148,0.1880235395856388,0.16157074710901215,0.0730507346059384,0.18489273072384957,0.148,0.06906197511322165
5,nusaparagraph_emot_btk_nusantara_text,2,eng,0.124,0.124,0.124,0.124,0.22190161867080968,0.16105603957271467,0.07928758233636282,0.21395734934489136,0.124,0.06739453162014138
6,nusaparagraph_emot_bew_nusantara_text,0,eng,0.23125,0.23125,0.23125,0.23125,0.2805263920566768,0.23543145240258867,0.14780700580245146,0.3833463317151674,0.23125,0.16276287492065236
7,nusaparagraph_emot_bew_nusantara_text,1,eng,0.155,0.155,0.155,0.155,0.2975056689342403,0.20269740452493204,0.11117342817256061,0.25024206349206346,0.155,0.08971843191763344
8,nusaparagraph_emot_bew_nusantara_text,2,eng,0.19125,0.19125,0.19125,0.19125,0.3660031754991822,0.25466004983424073,0.1655455845451098,0.3036308002715629,0.19125,0.13055151288825115
9,nusaparagraph_emot_bug_nusantara_text,0,eng,0.15666666666666668,0.15666666666666668,0.15666666666666668,0.15666666666666668,0.12808387173965063,0.2013417690567883,0.07935191536239114,0.19476214405360132,0.15666666666666668,0.06958475192783356
10,nusaparagraph_emot_bug_nusantara_text,1,eng,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.20579770594369134,0.16819613135402608,0.07548390307010996,0.2762209245742092,0.17333333333333334,0.0760931150586323
11,nusaparagraph_emot_bug_nusantara_text,2,eng,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.22383887299141536,0.16899886282037313,0.07485395696575822,0.2899601951720596,0.11666666666666667,0.067828540567671
12,nusaparagraph_emot_jav_nusantara_text,0,eng,0.19625,0.19625,0.19625,0.19625,0.25502746824626205,0.21572096412174893,0.1145199153979758,0.32313518441099964,0.19625,0.11648113468191428
13,nusaparagraph_emot_jav_nusantara_text,1,eng,0.17125,0.17125,0.17125,0.17125,0.20326433325623824,0.19044092884678626,0.10324822162403668,0.1812387850782515,0.17125,0.09315818529096537
14,nusaparagraph_emot_jav_nusantara_text,2,eng,0.21375,0.21375,0.21375,0.21375,0.3941890349558218,0.2521208415083343,0.16107315927576069,0.33113102555972335,0.21375,0.14013520837638352
15,nusaparagraph_emot_mad_nusantara_text,0,eng,0.188,0.188,0.188,0.188,0.057487618682792015,0.1760204081632653,0.08224640224640226,0.04769814211836813,0.188,0.07378240786240786
16,nusaparagraph_emot_mad_nusantara_text,1,eng,0.144,0.144,0.144,0.144,0.04908970829048514,0.1636029411764706,0.06613141068255714,0.05560123282176859,0.144,0.07062589897622472
17,nusaparagraph_emot_mad_nusantara_text,2,eng,0.056,0.056,0.056,0.056,0.19638752052545155,0.0677377769289534,0.04700328473462802,0.2799448275862069,0.056,0.04576647142665053
18,nusaparagraph_emot_mak_nusantara_text,0,eng,0.158,0.158,0.158,0.158,0.12413753493892866,0.16881562987812132,0.07252900236175633,0.14353905119270974,0.158,0.06305105759442471
19,nusaparagraph_emot_mak_nusantara_text,1,eng,0.152,0.152,0.152,0.152,0.04045739778409648,0.15647508237832794,0.061143351030991486,0.03956571722717914,0.152,0.05967986171132239
20,nusaparagraph_emot_mak_nusantara_text,2,eng,0.108,0.108,0.108,0.108,0.1965391956155503,0.14347465557508426,0.06309978129089013,0.26870538513210923,0.108,0.05595051720090043
21,nusaparagraph_emot_min_nusantara_text,0,eng,0.17,0.17,0.17,0.17,0.35422214812177905,0.1890541455589719,0.0932421600339611,0.49903086195838464,0.17,0.09972068701413164
22,nusaparagraph_emot_min_nusantara_text,1,eng,0.1275,0.1275,0.1275,0.1275,0.32291084128513164,0.19130978021441347,0.07689519996566321,0.26206090774938,0.1275,0.05593076469792274
23,nusaparagraph_emot_min_nusantara_text,2,eng,0.165,0.165,0.165,0.165,0.22495751989714105,0.24315021457289115,0.1209502548266557,0.18685655296949397,0.165,0.08665602120438062
24,nusaparagraph_emot_mui_nusantara_text,0,eng,0.2075,0.2075,0.2075,0.2075,0.27639433256746404,0.23668687991619902,0.12155416183670997,0.3946914419741406,0.2075,0.11801495034516168
25,nusaparagraph_emot_mui_nusantara_text,1,eng,0.24,0.24,0.24,0.24,0.3553913519430761,0.2322028927604483,0.13867757800307975,0.3613802681992337,0.24,0.14199756962011503
26,nusaparagraph_emot_mui_nusantara_text,2,eng,0.2275,0.2275,0.2275,0.2275,0.4050844475721323,0.2797329200143755,0.1764074585697146,0.40538895730706076,0.2275,0.1690573891599476
27,nusaparagraph_emot_rej_nusantara_text,0,eng,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.22199627181833587,0.1705292286406088,0.09404146121911569,0.28115460656385927,0.23333333333333334,0.11707890529483682
28,nusaparagraph_emot_rej_nusantara_text,1,eng,0.20666666666666667,0.20666666666666667,0.20666666666666667,0.20666666666666667,0.07761417706342963,0.2098546614675647,0.10155006284038544,0.09998915989159891,0.20666666666666667,0.1250909090909091
29,nusaparagraph_emot_rej_nusantara_text,2,eng,0.19666666666666666,0.19666666666666666,0.19666666666666666,0.19666666666666666,0.14626672139405583,0.22208436724565755,0.1258661533114088,0.18978777589134124,0.19666666666666666,0.153158799675588
30,nusaparagraph_emot_sun_nusantara_text,0,eng,0.1975,0.1975,0.1975,0.1975,0.38116591662551297,0.21797866823252451,0.11363574378962592,0.42739016930217966,0.1975,0.11115772587714912
31,nusaparagraph_emot_sun_nusantara_text,1,eng,0.17375,0.17375,0.17375,0.17375,0.44332976636347426,0.2135863277615855,0.11392933553304978,0.40105142009987516,0.17375,0.09668933870958775
32,nusaparagraph_emot_sun_nusantara_text,2,eng,0.2025,0.2025,0.2025,0.2025,0.4767978215232572,0.24658730738003323,0.17268934152486332,0.42811441500092096,0.2025,0.1462583798696364
33,nusaparagraph_rhetoric_btk_nusantara_text,0,eng,0.215,0.215,0.215,0.215,0.18801012292391217,0.20281994572555145,0.13947392354514077,0.19120245295991914,0.215,0.14631159615223793
34,nusaparagraph_rhetoric_btk_nusantara_text,1,eng,0.22166666666666668,0.22166666666666668,0.22166666666666668,0.22166666666666668,0.1108373868143381,0.19890685397781913,0.08179386350701091,0.1172394297687645,0.22166666666666668,0.09050260214553042
35,nusaparagraph_rhetoric_btk_nusantara_text,2,eng,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.17500875656742557,0.204617948679793,0.09450317998284483,0.17309311150029189,0.22666666666666666,0.10242792823420295
36,nusaparagraph_rhetoric_bew_nusantara_text,0,eng,0.237,0.237,0.237,0.237,0.20962176247508707,0.2363652340736436,0.15316280580872615,0.2154449312462277,0.237,0.15508072164086065
37,nusaparagraph_rhetoric_bew_nusantara_text,1,eng,0.2205,0.2205,0.2205,0.2205,0.1141590183087843,0.20229897623870804,0.08290750156494335,0.11842478810840744,0.2205,0.08964617758438555
38,nusaparagraph_rhetoric_bew_nusantara_text,2,eng,0.2145,0.2145,0.2145,0.2145,0.20860872710532372,0.19662759875633046,0.07697660121779666,0.21208245371740486,0.2145,0.08349826607085223
39,nusaparagraph_rhetoric_bug_nusantara_text,0,eng,0.165,0.165,0.165,0.165,0.11240223463687152,0.19119919032550994,0.08311859821183235,0.1136368715083799,0.165,0.07719267400815878
40,nusaparagraph_rhetoric_bug_nusantara_text,1,eng,0.2075,0.2075,0.2075,0.2075,0.1410126582278481,0.20353112486348746,0.07919213393568961,0.1257879746835443,0.2075,0.07905926122774382
41,nusaparagraph_rhetoric_bug_nusantara_text,2,eng,0.205,0.205,0.205,0.205,0.0951624211264314,0.19927633342267487,0.07885600099912576,0.10367784529095583,0.205,0.08215093043586862
42,nusaparagraph_rhetoric_jav_nusantara_text,0,eng,0.2195,0.2195,0.2195,0.2195,0.19955726905548715,0.23224877533786467,0.13670358137211366,0.20228768839499772,0.2195,0.1313265653343816
43,nusaparagraph_rhetoric_jav_nusantara_text,1,eng,0.2125,0.2125,0.2125,0.2125,0.12864532465183576,0.20247984380981823,0.08075144368467822,0.1305483270030747,0.2125,0.08388623516058455
