index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.24772727272727274,0.24772727272727274,0.24772727272727274,0.24772727272727274,0.3801717408274785,0.2212561881188119,0.11562995785262062,0.35171031154637705,0.24772727272727274,0.12431861190542341
1,emot_nusantara_text,1,eng,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.045454545454545456,0.2,0.07407407407407407,0.05165289256198347,0.22727272727272727,0.08417508417508418
2,emot_nusantara_text,2,eng,0.23636363636363636,0.23636363636363636,0.23636363636363636,0.23636363636363636,0.2458715596330275,0.2125,0.09815627743634767,0.197581317764804,0.23636363636363636,0.10191555591028814
3,nusaparagraph_emot_btk_nusantara_text,0,eng,0.136,0.136,0.136,0.136,0.28612290620251696,0.1610362016895217,0.07059471499425188,0.2857904464529851,0.136,0.06625345716214595
4,nusaparagraph_emot_btk_nusantara_text,1,eng,0.14,0.14,0.14,0.14,0.27671655698561526,0.1633525651739802,0.07469514612371755,0.28623929881777416,0.14,0.07091780441780442
5,nusaparagraph_emot_btk_nusantara_text,2,eng,0.168,0.168,0.168,0.168,0.27611457806263,0.18909123456976581,0.12224884190453357,0.28228945297127117,0.168,0.11514354834160341
6,nusaparagraph_emot_bew_nusantara_text,0,eng,0.19375,0.19375,0.19375,0.19375,0.5110645175854629,0.24815647781321767,0.1691169962630336,0.592005393292954,0.19375,0.14103741407729298
7,nusaparagraph_emot_bew_nusantara_text,1,eng,0.2225,0.2225,0.2225,0.2225,0.4308093036906596,0.28773286373793916,0.23018208943812032,0.35415648121156595,0.2225,0.1853933608498413
8,nusaparagraph_emot_bew_nusantara_text,2,eng,0.27,0.27,0.27,0.27,0.35168952827032446,0.34736011155666446,0.2719295840075192,0.2905573770491803,0.27,0.21877600605616382
9,nusaparagraph_emot_bug_nusantara_text,0,eng,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.12405647190383003,0.15384615384615383,0.057993029061278324,0.17787834311806916,0.16666666666666666,0.0701519397736015
10,nusaparagraph_emot_bug_nusantara_text,1,eng,0.16,0.16,0.16,0.16,0.12931034482758622,0.14945054945054945,0.05080189116529155,0.18577586206896554,0.16,0.05913908717283149
11,nusaparagraph_emot_bug_nusantara_text,2,eng,0.17666666666666667,0.17666666666666667,0.17666666666666667,0.17666666666666667,0.3580953840763773,0.19538394481186244,0.12220642325236389,0.35516681994686283,0.17666666666666667,0.10028709310490191
12,nusaparagraph_emot_jav_nusantara_text,0,eng,0.22,0.22,0.22,0.22,0.21923083050550432,0.24481832336895154,0.1650792155873569,0.19653171350507415,0.22,0.1487212531588111
13,nusaparagraph_emot_jav_nusantara_text,1,eng,0.2375,0.2375,0.2375,0.2375,0.4058344119458713,0.2656998294936502,0.19170206021858147,0.34076311328280817,0.2375,0.16979114237779303
14,nusaparagraph_emot_jav_nusantara_text,2,eng,0.28125,0.28125,0.28125,0.28125,0.36566486754355865,0.32017658776267993,0.246155138405522,0.30951094376449123,0.28125,0.21180973619102833
15,nusaparagraph_emot_mad_nusantara_text,0,eng,0.132,0.132,0.132,0.132,0.21158008658008656,0.16160555131143367,0.06649852287724141,0.3028181818181818,0.132,0.07461581489956777
16,nusaparagraph_emot_mad_nusantara_text,1,eng,0.146,0.146,0.146,0.146,0.22531770034116474,0.17371403106697225,0.07743919610945282,0.3207373031598707,0.146,0.0874563533233526
17,nusaparagraph_emot_mad_nusantara_text,2,eng,0.156,0.156,0.156,0.156,0.24388093087280077,0.16964100575295052,0.09400490550611616,0.3303532068654019,0.156,0.10678155403918116
18,nusaparagraph_emot_mak_nusantara_text,0,eng,0.16,0.16,0.16,0.16,0.13857902894447743,0.15999634168648252,0.06607876162795241,0.1791640452570685,0.16,0.07354188765417066
