index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,emot_nusantara_text,0,eng,0.2340909090909091,0.2340909090909091,0.2340909090909091,0.2340909090909091,0.2458715596330275,0.209375,0.09253731343283582,0.197581317764804,0.2340909090909091,0.09782903663500679
1,emot_nusantara_text,1,eng,0.22954545454545455,0.22954545454545455,0.22954545454545455,0.22954545454545455,0.24555808656036446,0.203125,0.0803653489367775,0.19722509836405053,0.22954545454545455,0.08880677763794646
2,emot_nusantara_text,2,eng,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.045454545454545456,0.2,0.07407407407407407,0.05165289256198347,0.22727272727272727,0.08417508417508418
3,nusaparagraph_emot_btk_nusantara_text,0,eng,0.214,0.214,0.214,0.214,0.10435420743639923,0.1956853974466499,0.11718088571731587,0.10272054794520548,0.214,0.12034853112737301
4,nusaparagraph_emot_btk_nusantara_text,1,eng,0.124,0.124,0.124,0.124,0.05657643416979517,0.1501788244820838,0.04585731728588871,0.054273397879207014,0.124,0.04053284493284493
5,nusaparagraph_emot_btk_nusantara_text,2,eng,0.098,0.098,0.098,0.098,0.029523809523809525,0.12846517917511832,0.047514931235861466,0.0229,0.098,0.03674736632876168
6,nusaparagraph_emot_bew_nusantara_text,0,eng,0.15625,0.15625,0.15625,0.15625,0.12961985573974247,0.17248164500652713,0.0900942851215928,0.1063525798660346,0.15625,0.08162869509864196
7,nusaparagraph_emot_bew_nusantara_text,1,eng,0.10375,0.10375,0.10375,0.10375,0.08621933621933622,0.14268876749232956,0.029815023881893183,0.06824179292929293,0.10375,0.021892522796352582
8,nusaparagraph_emot_bew_nusantara_text,2,eng,0.1025,0.1025,0.1025,0.1025,0.027369609144480424,0.14153478023592628,0.04490951642573027,0.01977984257560514,0.1025,0.03246983078271422
9,nusaparagraph_emot_bug_nusantara_text,0,eng,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.08161471383598208,0.16540871409292462,0.08597687219108217,0.08648840917453698,0.23333333333333334,0.10824366678449394
